Year,first,second,third,fourth,salesTax,percentage_UC,CPI,percentage_corrections
1967,3000,5850,8303,11840,4,0.068510961,33.375,0.075919618
1968,3323,6300,9030,12688,4,0.073314661,34.792,0.077391623
1969,3575,6860,9921,13900,4,0.079819195,36.683,0.08504823
1970,3688,7065,10276,14661,4,0.078573193,38.842,0.090664568
1971,3800,7244,10660,15200,4,0.064373298,40.483,0.079610206
1972,4050,7800,11528,16500,3.75,0.066812261,41.808,0.080791073
1973,4397,8455,12510,18012,4.75,0.069924729,44.425,0.083791281
1974,4860,9015,13321,19333,3.75,0.063976874,49.317,0.078344274
1975,5000,9384,14180,20360,4.75,0.064691823,53.825,0.075278895
1976,5405,10070,15340,22070,4.75,0.063421018,56.933,0.069252388
1977,5734,10800,16462,24000,4.75,0.056945255,60.617,0.063833295
1978,6318,11946,18075,26288,4.75,0.054063293,65.242,0.063183395
1979,7000,13000,20001,29000,4.75,0.053357253,72.583,0.064733022
1980,7478,14024,21500,31480,4.75,0.060342767,82.383,0.069643868
1981,8024,15000,23200,34300,4.75,0.057591613,90.933,0.072817247
1982,8400,15976,24410,36400,4.75,0.057516482,96.533,0.074868043
1983,8949,16640,25539,38596,4.75,0.049776323,99.583,0.073702108
1984,9500,17780,27393,41380,4.75,0.057109308,103.933,0.076182089
1985,9941,18704,28975,43578,4.75,0.060863832,107.6,0.085448135
1986,10247,19600,30419,45982,4.75,0.057077782,109.692,0.086188503
1987,10800,20500,32000,48363,4.75,0.060486486,113.617,0.096479665
1988,11382,21500,33506,50593,4.75,0.055265436,118.275,0.092910034
1989,12096,23000,35350,53710,4.75,0.055752309,123.942,0.106910787
1990,12500,23662,36200,55205,5,0.057992098,130.658,0.120651351
1991,12591,24000,37070,56759,4.75,0.05254442,136.167,0.118892968
1992,12600,24140,37900,58007,6,0.047925377,140.308,0.121184325
1993,12967,24679,38793,60300,6,0.04675852,144.475,0.136635133
1994,13426,25200,40100,62841,6,0.044414755,148.225,0.135548068
1995,14400,26914,42002,65124,6,0.04278184,152.383,0.134127829
1996,14768,27760,44006,68015,6,0.042899739,156.858,0.131744051
1997,15400,29200,46000,71500,6,0.040482556,160.525,0.122653186
1998,16116,30408,48337,75000,6,0.043261448,163.008,0.120196138
1999,17136,31920,50384,79232,6,0.038781641,166.583,0.108024961
2000,17920,33000,52174,81766,6,0.042179177,172.192,0.106343565
2001,17970,33314,53000,83500,5.75,0.053031873,177.042,0.136772352
2002,17916,33377,53162,84016,6,0.048552089,179.867,0.139419904
2003,17984,34000,54453,86867,6,0.040838813,184,0.138845747
2004,18486,34675,55230,88002,6,0.033703922,188.908,0.130918361
2005,19178,36000,57660,91705,6.25,0.031376476,195.267,0.131712187
2006,20035,37774,60000,97032,6.25,0.032919753,201.558,0.148495705
2007,20291,39100,62000,100000,6.25,0.034183805,207.344,0.159526386
2008,20712,39000,62725,100240,6.25,0.030457833,215.254,
2009,20453,38550,61801,100000,6.25,0.030711044,214.565,
2010,20000,38000,61500,100029,7.25,0.030711044,218.076,
2011,20262,38520,62434,101582,7.25,0.030711044,224.93,
2012,20599,39764,64582,104096,6.25,0.030711044,229.6,
2013,20900,40187,65501,105910,6.5,0.030711044,232.962,
2014,21000,41035,67200,110232,6.5,0.030711044,236.712,
